Month,Coconut Oil Price,Coconut Oil Price Change,Olive Oil Price,Olive Oil Price Change,Palm Oil Price,Palm Oil Price Change,Peanut Oil Price,Peanut Oil Price Change,Soybean Oil Price,Soybean Oil Price Change
Dec-16,"1,727.14",11.18%,"3,992.51",1.64%,811.38,5.80%,"1,439.30",0.44%,916.7,3.57%
Jan-17,"1,818.64",5.30%,"4,152.22",4.00%,825,1.68%,"1,427.78",-0.80%,876.85,-4.35%
Feb-17,"1,688.25",-7.17%,"4,424.23",6.55%,808.61,-1.99%,"1,359.90",-4.75%,839.6,-4.25%
Mar-17,"1,542.39",-8.64%,"4,434.15",0.22%,778.7,-3.70%,"1,398.98",2.87%,814.94,-2.94%
Apr-17,"1,589.72",3.07%,"4,389.46",-1.01%,752.06,-3.42%,"1,421.40",1.60%,794.04,-2.56%
May-17,"1,719.29",8.15%,"4,635.18",5.60%,762.75,1.42%,"1,453.05",2.23%,825.06,3.91%
Jun-17,"1,869.76",8.75%,"4,632.07",-0.07%,735.14,-3.62%,"1,463.07",0.69%,832.95,0.96%
Jul-17,"1,644.05",-12.07%,"4,686.00",1.16%,720.48,-1.99%,"1,496.94",2.31%,835.6,0.32%
Aug-17,"1,845.00",12.22%,"4,661.51",-0.52%,717.95,-0.35%,"1,510.17",0.88%,861.72,3.13%
Sep-17,"1,600.95",-13.23%,"4,614.20",-1.01%,755.28,5.20%,"1,504.65",-0.37%,889.44,3.22%
Oct-17,"1,484.77",-7.26%,"4,601.24",-0.28%,746.79,-1.12%,"1,481.11",-1.56%,880.6,-0.99%
Nov-17,"1,554.32",4.68%,"4,566.47",-0.76%,728.86,-2.40%,"1,502.29",1.43%,886.77,0.70%
Dec-17,"1,450.66",-6.67%,"4,560.83",-0.12%,679.17,-6.82%,"1,510.17",0.52%,867.19,-2.21%
Jan-18,"1,393.86",-3.92%,"4,795.52",5.15%,703.45,3.57%,"1,433.00",-5.11%,870.5,0.38%
Feb-18,"1,244.25",-10.73%,"4,781.01",-0.30%,709.44,0.85%,"1,433.00",0.00%,843.56,-3.09%
Mar-18,"1,118.63",-10.10%,"4,394.37",-8.09%,706.19,-0.46%,"1,435.63",0.18%,836.68,-0.82%
Apr-18,"1,131.18",1.12%,"4,135.67",-5.89%,701.18,-0.71%,"1,444.03",0.59%,831.85,-0.58%
May-18,"1,027.75",-9.14%,"3,655.73",-11.60%,687.29,-1.98%,"1,444.03",0.00%,793.25,-4.64%
Jun-18,931.19,-9.40%,"3,576.39",-2.17%,656.5,-4.48%,"1,461.87",1.24%,788.57,-0.59%
Jul-18,916.25,-1.60%,"3,676.75",2.81%,616.14,-6.15%,"1,477.10",1.04%,780.45,-1.03%
Aug-18,915.22,-0.11%,"3,552.95",-3.37%,614.1,-0.33%,"1,477.10",0.00%,761.82,-2.39%
Sep-18,907.9,-0.80%,"3,610.16",1.61%,605.15,-1.46%,"1,442.29",-2.36%,754.05,-1.02%
Oct-18,839.54,-7.53%,"3,491.82",-3.28%,590.32,-2.45%,"1,433.63",-0.60%,752.37,-0.22%
Nov-18,786.6,-6.31%,"3,591.27",2.85%,539.1,-8.68%,"1,438.26",0.32%,729.22,-3.08%
Dec-18,796.27,1.23%,"3,679.11",2.45%,535.02,-0.76%,"1,434.58",-0.26%,727.88,-0.18%
Jan-19,773.07,-2.91%,"3,533.61",-3.95%,584.58,9.26%,"1,379.77",-3.82%,747.79,2.74%
Feb-19,710.43,-8.10%,"3,466.16",-1.91%,602.97,3.15%,"1,370.06",-0.70%,772.82,3.35%
Mar-19,678.56,-4.49%,"3,325.86",-4.05%,573.02,-4.97%,"1,370.38",0.02%,750.33,-2.91%
Apr-19,668.63,-1.46%,"3,243.70",-2.47%,588.45,2.69%,"1,377.61",0.53%,733.77,-2.21%
May-19,661.17,-1.12%,"3,158.12",-2.64%,563.2,-4.29%,"1,392.89",1.11%,742.53,1.19%
Jun-19,635.6,-3.87%,"3,162.49",0.14%,552.19,-1.95%,"1,391.97",-0.07%,742.89,0.05%
Jul-19,657.31,3.42%,"3,181.18",0.59%,543.88,-1.50%,"1,437.71",3.29%,748.17,0.71%
Aug-19,719.28,9.43%,"3,119.68",-1.93%,586.12,7.77%,"1,457.89",1.40%,793.21,6.02%
Sep-19,724.03,0.66%,"3,057.86",-1.98%,580.3,-0.99%,"1,458.25",0.02%,779.25,-1.76%
Oct-19,719.52,-0.62%,"2,979.00",-2.58%,591.35,1.90%,"1,458.53",0.02%,770.8,-1.08%
Nov-19,836.29,16.23%,"2,918.68",-2.02%,683.38,15.56%,"1,388.47",-4.80%,774.91,0.53%
Dec-19,"1,015.66",21.45%,"2,849.65",-2.37%,769.93,12.66%,"1,457.89",5.00%,820.59,5.89%
Jan-20,992.66,-2.26%,"2,687.32",-5.70%,834.85,8.43%,"1,492.61",2.38%,873.66,6.47%
Feb-20,844.12,-14.96%,"2,737.94",1.88%,728.81,-12.70%,"1,393.46",-6.64%,800.41,-8.38%
Mar-20,837.72,-0.76%,"2,796.26",2.13%,636.25,-12.70%,"1,412.91",1.40%,747.8,-6.57%
Apr-20,834.51,-0.38%,"2,775.09",-0.76%,608.88,-4.30%,"1,527.27",8.09%,679.98,-9.07%
May-20,832.33,-0.26%,"2,754.38",-0.75%,576.56,-5.31%,"1,588.02",3.98%,684.78,0.71%
Jun-20,916.38,10.10%,"2,842.24",3.19%,656.49,13.86%,"1,712.82",7.86%,755.71,10.36%
Jul-20,888.31,-3.06%,"2,868.08",0.91%,694.16,5.74%,"1,876.87",9.58%,821.11,8.65%
Aug-20,981.3,10.47%,"2,995.76",4.45%,760.3,9.53%,"1,876.96",0.00%,866.94,5.58%
Sep-20,"1,034.18",5.39%,"3,094.02",3.28%,796.22,4.72%,"1,880.71",0.20%,905.86,4.49%
Oct-20,"1,118.36",8.14%,"3,285.64",6.19%,819.27,2.89%,"1,877.59",-0.17%,914.77,0.98%
Nov-20,"1,368.95",22.41%,"1,389.97",-57.70%,917.81,12.03%,"1,878.61",0.05%,973.88,6.46%
Dec-20,"1,464.96",7.01%,"1,313.41",-5.51%,"1,016.37",10.74%,"1,977.17",5.25%,"1,026.20",5.37%
Jan-21,"1,463.07",-0.13%,"3,468.29",164.07%,990.27,-2.57%,"1,988.94",0.60%,"1,098.67",7.06%
Feb-21,"1,444.50",-1.27%,"3,898.12",12.39%,"1,019.86",2.99%,"1,993.21",0.21%,"1,123.50",2.26%
Mar-21,"1,540.65",6.66%,"3,933.92",0.92%,"1,030.48",1.04%,"2,006.04",0.64%,"1,284.81",14.36%
Apr-21,"1,659.64",7.72%,"4,124.21",4.84%,"1,078.05",4.62%,"2,020.64",0.73%,"1,386.35",7.90%
May-21,"1,715.24",3.35%,"4,397.94",6.64%,"1,136.46",5.42%,"2,072.04",2.54%,"1,574.67",13.58%
Jun-21,"1,670.68",-2.60%,"4,489.52",2.08%,"1,004.42",-11.62%,"2,078.83",0.33%,"1,518.16",-3.59%
Jul-21,"1,584.09",-5.18%,"4,402.40",-1.94%,"1,062.99",5.83%,"2,092.19",0.64%,"1,468.34",-3.28%
Aug-21,"1,493.64",-5.71%,"4,383.35",-0.43%,"1,141.82",7.42%,"2,102.29",0.48%,"1,433.94",-2.34%
Sep-21,"1,485.00",-0.58%,"4,441.54",1.33%,"1,181.38",3.46%,"2,109.02",0.32%,"1,398.75",-2.45%
Oct-21,"1,922.86",29.49%,"4,366.58",-1.69%,"1,310.25",10.91%,"2,133.67",1.17%,"1,483.52",6.06%
Nov-21,"1,960.68",1.97%,"4,186.37",-4.13%,"1,340.65",2.32%,"2,150.21",0.78%,"1,442.96",-2.73%
Dec-21,"1,695.71",-13.51%,"4,124.93",-1.47%,"1,270.29",-5.25%,"2,154.06",0.18%,"1,411.21",-2.20%
Jan-22,"2,016.14",18.90%,"4,250.13",3.04%,"1,344.79",5.86%,"2,489.88",15.59%,"1,469.56",4.13%
Feb-22,"2,147.89",6.53%,"4,233.02",-0.40%,"1,522.36",13.20%,"2,473.10",-0.67%,"1,595.74",8.59%
Mar-22,"2,230.22",3.83%,"4,398.57",3.91%,"1,776.96",16.72%,"2,153.15",-12.94%,"1,956.88",22.63%
Apr-22,"2,094.61",-6.08%,"4,284.61",-2.59%,"1,682.74",-5.30%,"2,145.25",-0.37%,"1,947.51",-0.48%
May-22,"1,813.33",-13.43%,"4,098.48",-4.34%,"1,716.92",2.03%,"2,146.29",0.05%,"1,962.88",0.79%
Jun-22,"1,700.50",-6.22%,"4,030.65",-1.66%,"1,501.10",-12.57%,"2,146.19",0.00%,"1,751.76",-10.76%
Jul-22,"1,540.53",-9.41%,"4,065.02",0.85%,"1,056.64",-29.61%,"2,146.19",0.00%,"1,533.40",-12.47%
